"params","metrics","method","value"
"phi","Rhat","HMC-Whittle","1.0000"
"sigma[eta]","Rhat","HMC-Whittle","0.9999"
"sigma[epsilon]","Rhat","HMC-Whittle","0.9998"
"phi","Rhat","HMC-exact","1.0001"
"sigma[eta]","Rhat","HMC-exact","1.0000"
"sigma[epsilon]","Rhat","HMC-exact","1.0004"
"phi","ESS","HMC-Whittle","2172.3786"
"sigma[eta]","ESS","HMC-Whittle","1655.2577"
"sigma[epsilon]","ESS","HMC-Whittle","1658.6058"
"phi","ESS","HMC-exact","4159.9363"
"sigma[eta]","ESS","HMC-exact","1801.0767"
"sigma[epsilon]","ESS","HMC-exact","1349.5898"
